序号,车型,简介,价格区间,二二年销量
162,冒险家,长安林肯/紧凑型suv,22.08-32.08万,33980
163,大V,东风日产启辰/紧凑型suv,9.18-12.68万,33688
165,几何E,几何汽车/小型suv,7.98-10.08万,32716
166,五菱之光,上汽通用五菱/微型车,3.51-3.66万,32511
167,ID.4 X,上汽大众/紧凑型suv,16.99-26.29万,31748
168,凯迪拉克XT4,上汽通用凯迪拉克/紧凑型suv,20.17-29.47万,31180
169,沃尔沃S90,沃尔沃亚太/中大型车,32.49-42.39万,30824
170,骏行,国金汽车/紧凑型车,15.98万,30500
171,理想L8,理想汽车/中大型suv,33.98-39.98万,29773
172,远景X6,吉利汽车/紧凑型suv,7.29-8.69万,29742
173,迈锐宝XL,上汽通用雪佛兰/中型车,13.29-17.69万,29728
174,一汽-大众CC,一汽-大众/中型车,21.99-26.99万,29524
175,瑞虎5x,奇瑞汽车/小型suv,5.99-9.09万,29156
176,奥迪Q2L,一汽-大众奥迪/小型suv,16.51-19.35万,29117
177,AION V,广汽埃安新能源/紧凑型suv,18.98-26.98万,29046
178,欧蓝德,广汽三菱/紧凑型suv,13.98-22.48万,28851
179,君越,上汽通用别克/中型车,17.07-24.07万,28382
180,宝马iX3,华晨宝马/中型suv,34.20-44.50万,28047
181,帝豪EV,几何汽车/紧凑型车,14.68-16.98万,27016
182,吉利ICON,吉利汽车/小型suv,10.59-12.49万,26891
183,凌宝BOX,吉麦新能源/微型车,4.38-6.88万,26454
184,捷途X90,奇瑞汽车/中型suv,8.09-16.99万,26103
185,豪越,吉利汽车/中型suv,10.36-13.16万,25777
186,捷达VS7,一汽-大众捷达/中型suv,10.19-13.29万,25713
187,唐新能源,比亚迪/中型suv,28.28-34.28万,25307
188,奔驰GLA,北京奔驰/紧凑型suv,22.28-27.98万,25083
189,沃尔沃S60,沃尔沃亚太/中型车,23.99-32.79万,24540
190,ID.6 CROZZ,一汽-大众/中大型suv,21.69-29.49万,34990
191,锐际,长安福特/紧凑型suv,14.98-20.18万,24701
192,POLO,上汽大众/小型车,7.39-10.79万,24356
193,坦克500,长城汽车/中大型suv,33.50-39.50万,24345
194,蔚来ET7,蔚来/中大型车,45.80-53.60万,24216
195,问界M7,赛力斯汽车/中大型suv,28.98-37.98万,24186
196,蔚来ET5,蔚来/中型车,32.80-38.60万,24079
197,艾瑞泽8,奇瑞汽车/紧凑型车,10.39-12.79万,23977
198,本田UR-V,东风本田/中型suv,21.88-30.18万,23932
199,ID.3,上汽大众/紧凑型车,13.99-16.59万,23883
200,奇骏,东风日产/紧凑型suv,15.93-19.28万,31355
201,威飒,广汽丰田/中型suv,19.38-30.38万,23755
202,北京BJ40,北京越野/紧凑型suv,15.48-27.29万,23563
203,骐达,东风日产/紧凑型车,8.39-12.09万,23551
204,宝骏KiWi EV,上汽通用五菱/微型车,7.78-10.28万,23548
205,奔腾B70,一汽奔腾/中型车,10.29-14.19万,23331
206,揽镜,一汽-大众/中大型suv,26.49-37.29万,23329
207,凌派,广汽本田/紧凑型车,8.18-15.68万,23110
208,长安UNI-K,长安汽车/中型suv,14.19-18.49万,37586
209,腾势D9,腾势汽车,33.58-44.58万,23566
210,帝豪L 雷神Hi·P,吉利汽车/紧凑型车,10.98-16.88万,22980
211,领睿,江铃福特/中型suv,13.37-16.23万,22681
212,悦动,北京现代/紧凑型车,7.59-10.69万,22550
213,影酷,广汽乘用车/紧凑型suv,11.18-16.18万,22354
214,亚洲狮,一汽丰田/紧凑型车,11.98-15.78万,22345
215,风行T5 EVO,东风风行/紧凑型suv,10.39-13.69万,26700
216,奔驰E级新能源,北京奔驰/中大型车,52.23万,21738
217,宝马1系,华晨宝马/紧凑型车,15.00-24.99万,21531
218,探险者,长安福特/中大型suv,30.98-37.98万,21483
219,标致408,东风标致/紧凑型车,10.57-15.97万,21429
220,帝豪S,吉利汽车/紧凑型suv,8.09-10.39万,21149
221,探影,一汽-大众/小型suv,9.09-13.59万,21074
222,福瑞迪,起亚/紧凑型车,6.90-9.70万,20520
223,星途凌云,星途/中型suv,12.99-16.49万,20447
224,锐界,长安福特/中型suv,20.98-28.98万,20277
225,红旗H9,一汽红旗/中大型车,30.98-86.00万,20119
226,合创Z03,合创汽车/紧凑型suv,13.48-18.28万,20009
227,枫叶80v,睿蓝汽车/紧凑型MPV,8.98-15.98万,20002
228,奔腾NAT,一汽奔腾/紧凑型MPV,14.68-16.48万,19981
229,皓极,东风乘用车/紧凑型suv,12.69-14.69万,19891
230,艾瑞泽e,奇瑞新能源/紧凑型车,15.24万,19878
231,宝马i3,华晨宝马/中型车,27.70-41.39万,19878
232,风行S50EV,东风风行/紧凑型车,13.19-15.99万,19703
233,传祺GS3,广汽乘用车/小型suv,8.48-11.18万,19614
234,捷途大圣,奇瑞汽车/紧凑型suv,9.99-13.59万,19431
235,昂科旗,上汽通用别克/中大型suv,24.99-30.99万,19368
236,凯迪拉克XT6,上汽通用凯迪拉克/中大型suv,32.27-48.57万,19336
237,逸动EV,长安汽车/紧凑型车,14.99-15.99万,19246
238,探界者,上汽通用雪佛兰/中型suv,12.69-19.69万,19118
239,枫叶60s,睿蓝汽车/紧凑型车,7.98-14.98万,18555
240,丰田C-HR,广汽丰田/小型suv,12.98-19.28万,18847
241,威然,上汽大众,25.48-36.78万,18442
242,炫界,凯翼汽车/紧凑型suv,5.39-12.98万,18285
243,悦虎,大运汽车/小型suv,7.58-8.58万,17771
244,五菱星驰,上汽通用五菱/小型suv,5.68-8.68万,17739
245,智跑,起亚/紧凑型suv,11.98-13.99万,17727
246,奕泽IZOA,一汽丰田/小型suv,13.48-17.48万,17605
247,风神EX1,东风汽车/小型suv,5.57-5.77万,17304
248,威马E.5,威马汽车/中型车,17.51-21.51万,17224
249,宝马X2,华晨宝马/紧凑型suv,20.90-33.29万,16978
250,芒果,雷丁/微型车,4.89-5.59万,16954
251,凌尚,广汽丰田/紧凑型车,11.78-13.68万,16612
252,五菱凯捷,上汽通用五菱/紧凑型MPV,8.58-14.98万,16444
253,奔驰V级,福建奔驰,47.88-64.68万,16353
254,瑞虎3x,奇瑞汽车/小型suv,4.59-6.59万,16195
255,锐程PLUS,长安汽车/紧凑型车,8.99-11.29万,16118
256,蔚来ES7,蔚来/中大型suv,46.80-54.80万,16061
257,福克斯,长安福特/紧凑型车,10.48-13.08万,15961
258,小鹏汽车G3,小鹏汽车/紧凑型suv,14.89-17.69万,15945
259,航海家,长安林肯/中型suv,30.88-45.88万,15755
260,领克01,领克/紧凑型suv,16.09-20.18万,15679
261,欧拉黑猫,长城汽车/微型车,8.48-9.98万,15563
262,悦翔,长安汽车/小型车,4.99-6.49万,15495
263,元Pro,比亚迪/小型suv,9.88-11.88万,15406
264,威霆,福建奔驰,29.38-34.78万,15331
265,SWM斯威G05,SWM斯威汽车/中型suv,8.69-11.69万,14979
266,创维EV6,创维汽车/中型suv,16.28-28.08万,14978
267,哈弗赤兔,长城汽车/紧凑型suv,9.18-13.08万,14951
268,威驰FS,一汽丰田/小型车,7.58-8.28万,14947
269,大通G50,上汽大通/紧凑型MPV,8.28-16.08万,14843
270,轩度,凯翼汽车/紧凑型车,6.78-9.39万,14696
271,福睿斯,长安福特/紧凑型车,7.38-9.98万,14550
